,latitude,longitude,brightness,satellite,frp,daynight,type_2,type_3,scan_binned,year,month,day
0,-11.807,142.0583,313.0,1,6.6,1,0,0,1,2019,8,1
1,-11.7924,142.085,319.3,1,11.3,1,0,0,1,2019,8,1
2,-12.8398,132.8744,311.6,1,23.1,1,0,0,4,2019,8,1
3,-14.4306,143.3035,310.1,1,6.5,1,0,0,2,2019,8,1
4,-12.4953,131.4897,310.3,1,27.6,1,0,0,4,2019,8,1
5,-12.6191,142.1998,314.8,1,9.3,1,0,0,1,2019,8,1
6,-14.3655,143.5682,305.4,1,5.9,1,0,0,2,2019,8,1
7,-14.3195,143.5198,322.9,1,20.4,1,0,0,2,2019,8,1
8,-13.1654,141.9715,317.2,1,9.9,1,0,0,1,2019,8,1
9,-11.5473,132.6796,311.5,1,27.3,1,0,0,4,2019,8,1
10,-11.5417,132.649,312.2,1,31.4,1,0,0,4,2019,8,1
11,-11.5471,132.6538,316.0,1,52.7,1,0,0,4,2019,8,1
12,-12.7626,142.1759,335.2,1,30.1,1,0,0,1,2019,8,1
13,-12.705,133.907,311.7,1,20.6,1,0,0,3,2019,8,1
14,-13.1092,134.1848,315.9,1,29.5,1,0,0,3,2019,8,1
15,-14.0539,142.3327,316.0,1,7.8,1,0,0,1,2019,8,1
16,-12.6996,133.9138,310.9,1,17.6,1,0,0,3,2019,8,1
17,-12.7499,134.5251,314.8,1,22.8,1,0,0,3,2019,8,1
18,-12.7141,134.3991,313.9,1,23.0,1,0,0,3,2019,8,1
19,-12.7061,134.4077,314.0,1,21.2,1,0,0,3,2019,8,1
20,-13.8656,141.9771,315.7,1,6.7,1,0,0,1,2019,8,1
21,-12.6491,134.3953,324.9,1,57.7,1,0,0,3,2019,8,1
22,-13.1015,134.1926,311.3,1,17.2,1,0,0,3,2019,8,1
23,-12.6703,142.1102,322.4,1,13.7,1,0,0,1,2019,8,1
24,-13.3042,142.04,318.6,1,11.6,1,0,0,1,2019,8,1
25,-13.2236,141.9914,325.3,1,16.2,1,0,0,1,2019,8,1
26,-13.2821,142.4617,306.5,1,5.4,1,0,0,1,2019,8,1
27,-13.2159,142.002,325.5,1,17.6,1,0,0,1,2019,8,1
28,-13.2537,142.5242,310.0,1,4.3,1,0,0,1,2019,8,1
29,-12.4513,141.8071,320.2,1,13.0,1,0,0,1,2019,8,1
30,-12.4527,141.8162,328.6,1,21.8,1,0,0,1,2019,8,1
31,-12.544,142.4455,317.6,1,8.8,1,0,0,1,2019,8,1
32,-12.463,141.8241,317.0,1,8.2,1,0,0,1,2019,8,1
33,-12.5567,141.8979,336.5,1,31.5,1,0,0,1,2019,8,1
34,-12.5581,141.9071,318.2,1,8.9,1,0,0,1,2019,8,1
35,-13.2313,131.9106,316.7,1,49.9,1,0,0,4,2019,8,1
36,-13.2394,131.9032,319.1,1,61.1,1,0,0,4,2019,8,1
37,-13.2993,131.9598,315.3,1,37.0,1,0,0,4,2019,8,1
38,-13.3151,131.9569,314.2,1,31.6,1,0,0,4,2019,8,1
39,-15.3551,142.3028,319.7,1,15.0,1,0,0,2,2019,8,1
40,-15.3658,142.3113,329.2,1,25.0,1,0,0,2,2019,8,1
41,-14.2726,135.0443,314.3,1,15.3,1,0,0,2,2019,8,1
42,-15.4778,142.5924,314.3,1,10.7,1,0,0,2,2019,8,1
43,-14.3048,134.9182,321.8,1,35.7,1,0,0,2,2019,8,1
44,-14.308,134.9367,316.1,1,20.5,1,0,0,2,2019,8,1
45,-12.7613,142.1666,319.2,1,10.1,1,0,0,1,2019,8,1
46,-12.8447,132.9017,324.0,1,80.1,1,0,0,4,2019,8,1
47,-12.8782,132.9177,312.6,1,24.7,1,0,0,4,2019,8,1
48,-15.0081,131.7665,312.6,1,30.2,1,0,0,4,2019,8,1
49,-15.7637,137.0728,377.6,1,208.1,1,0,0,2,2019,8,1
50,-15.7678,137.0335,319.5,1,14.5,1,0,0,2,2019,8,1
51,-15.7699,137.046,345.8,1,71.3,1,0,0,2,2019,8,1
52,-15.7863,137.0816,321.4,1,17.1,1,0,0,2,2019,8,1
53,-14.651,130.5884,313.6,1,46.2,1,0,0,5,2019,8,1
54,-14.6536,130.5824,312.4,1,40.0,1,0,0,5,2019,8,1
55,-14.6614,130.6219,312.6,1,42.0,1,0,0,5,2019,8,1
56,-14.727,130.6886,311.9,1,39.4,1,0,0,5,2019,8,1
57,-14.9422,131.8184,318.3,1,54.8,1,0,0,4,2019,8,1
58,-15.7616,137.0603,336.7,1,44.5,1,0,0,2,2019,8,1
59,-15.1411,131.1486,315.0,1,46.2,1,0,0,4,2019,8,1
60,-15.1317,131.1449,313.2,1,37.3,1,0,0,4,2019,8,1
61,-16.144,136.7135,367.6,1,162.2,1,0,0,2,2019,8,1
62,-15.1544,131.1757,312.2,1,31.4,1,0,0,4,2019,8,1
63,-16.1479,136.6726,349.3,1,84.5,1,0,0,2,2019,8,1
64,-16.1501,136.6857,345.1,1,69.9,1,0,0,2,2019,8,1
65,-16.1545,136.7117,339.3,1,52.0,1,0,0,2,2019,8,1
66,-16.1646,136.6428,328.5,1,30.8,1,0,0,2,2019,8,1
67,-15.1018,130.5473,310.8,1,33.9,1,0,0,5,2019,8,1
68,-15.1089,130.5845,309.7,1,27.9,1,0,0,5,2019,8,1
69,-15.1657,129.9294,315.3,1,76.1,1,0,0,5,2019,8,1
70,-15.1644,129.9221,313.4,1,63.3,1,0,0,5,2019,8,1
71,-15.5022,130.6313,318.5,1,68.1,1,0,0,4,2019,8,1
72,-15.4825,130.4364,314.4,1,48.5,1,0,0,5,2019,8,1
73,-15.4967,130.6638,314.7,1,44.7,1,0,0,4,2019,8,1
74,-15.5059,130.623,317.6,1,65.5,1,0,0,4,2019,8,1
75,-15.485,130.4285,312.4,1,39.6,1,0,0,5,2019,8,1
76,-14.0156,131.5979,315.0,1,49.2,1,0,0,4,2019,8,1
77,-20.7333,139.479,311.5,1,5.9,1,1,0,1,2019,8,1
78,-28.0219,148.1972,308.1,1,31.0,1,0,0,4,2019,8,1
79,-32.2111,146.7604,303.7,1,19.2,1,0,0,4,2019,8,1
80,-32.2088,146.7257,309.2,1,38.7,1,0,0,4,2019,8,1
81,-14.6671,126.7783,323.4,1,98.1,1,0,0,5,2019,8,1
82,-14.668,126.7715,324.4,1,114.8,1,0,0,5,2019,8,1
83,-14.6721,126.8129,324.1,1,114.9,1,0,0,5,2019,8,1
84,-14.6855,126.7699,339.8,1,287.9,1,0,0,5,2019,8,1
85,-14.6896,126.8108,324.6,1,113.4,1,0,0,5,2019,8,1
86,-14.7213,126.7612,315.2,1,45.5,1,0,0,5,2019,8,1
87,-16.0896,125.9278,315.1,1,45.9,1,0,0,4,2019,8,1
88,-16.0778,125.9238,312.9,1,33.1,1,0,0,4,2019,8,1
89,-16.1692,125.9902,312.8,1,37.5,1,0,0,5,2019,8,1
90,-14.6846,126.7765,344.9,1,362.5,1,0,0,5,2019,8,1
91,-29.6694,116.5634,305.6,1,7.4,1,0,0,2,2019,8,1
92,-29.429,115.0197,304.2,1,5.3,1,0,0,2,2019,8,1
93,-34.082,116.7357,305.9,1,14.4,1,0,0,2,2019,8,1
94,-31.2771,115.845,301.7,1,5.6,1,0,0,2,2019,8,1
95,-32.4999,116.0805,301.4,1,8.5,1,0,0,2,2019,8,1
96,-32.8685,116.5515,302.3,1,9.7,1,0,0,2,2019,8,1
97,-33.7142,122.2123,304.6,1,35.1,1,0,0,4,2019,8,1
98,-33.6942,117.6054,300.2,1,9.7,1,0,0,2,2019,8,1
99,-33.6976,117.2918,303.0,1,11.8,1,0,0,2,2019,8,1
100,-34.0838,116.7459,304.5,1,11.8,1,0,0,2,2019,8,1
101,-33.9346,115.166,300.9,1,7.1,1,0,0,2,2019,8,1
102,-34.1447,116.3721,356.7,1,138.3,1,0,0,2,2019,8,1
103,-34.1465,116.3881,401.5,1,461.8,1,0,0,2,2019,8,1
104,-34.1486,116.3819,402.3,1,470.3,1,0,0,2,2019,8,1
105,-34.1502,116.3977,337.8,1,72.4,1,0,0,2,2019,8,1
106,-34.5699,118.5261,300.1,1,11.8,1,0,0,2,2019,8,1
107,-34.5719,118.5483,306.5,1,22.0,1,0,0,2,2019,8,1
108,-33.5541,147.8052,305.6,0,9.6,1,0,0,2,2019,8,1
109,-34.468,150.8807,310.5,0,9.9,1,1,0,2,2019,8,1
110,-31.7148,151.0734,327.0,0,26.3,1,0,0,2,2019,8,1
111,-31.7162,151.0615,310.5,0,8.3,1,0,0,2,2019,8,1
112,-31.7932,148.5045,323.2,0,29.5,1,0,0,2,2019,8,1
113,-31.7949,148.4881,333.6,0,53.4,1,0,0,2,2019,8,1
114,-31.3758,150.696,308.4,0,6.0,1,0,0,2,2019,8,1
115,-31.3773,150.6837,320.7,0,18.3,1,0,0,2,2019,8,1
116,-31.3949,149.6613,311.9,0,10.4,1,0,0,2,2019,8,1
117,-30.8634,150.7224,308.5,0,5.1,1,0,0,2,2019,8,1
118,-30.8649,150.7103,309.6,0,5.9,1,0,0,2,2019,8,1
119,-32.7107,147.0208,309.8,0,15.6,1,0,0,2,2019,8,1
120,-31.8089,150.3822,307.4,0,7.4,1,0,0,2,2019,8,1
121,-29.558,152.1505,312.3,0,12.9,1,0,0,1,2019,8,1
122,-30.3403,147.721,317.1,0,20.7,1,0,0,2,2019,8,1
123,-30.413,148.553,313.6,0,10.9,1,0,0,2,2019,8,1
